"region","sales_rep","total_revenue"
"Midwest","Charles Bidwell","675637.19"
"Midwest","Cliff Meints","556105.34"
"Midwest","Delilah Krum","512179.11"
"Northeast","Tia Amato","1010690.60"
"Northeast","Sibyl Lauria","722084.27"
"Northeast","Gianna Dossey","550973.02"
"Southeast","Earlie Schleusner","1098137.72"
"Southeast","Vernita Plump","934212.93"
"Southeast","Dorotha Seawell","766935.04"
"West","Georgianna Chisholm","886244.12"
"West","Arica Stoltzfus","810353.34"
"West","Brandie Riva","675917.64"
